sentence1	sentence2	label
Amrozi menuduh saudaranya yang dia sebut sebagai saksi dengan sengaja mendistorsi buktinya.	Mengacu padanya hanya sebagai saksi Amrozi yang menuduh saudaranya dengan sengaja mendistorsi buktinya.	1
Yucaipa memiliki Dominicks sebelum menjual rantai ke Safeway pada tahun 1998 dengan harga 2,5 miliar.	Yucaipa membeli Dominicks pada tahun 1995 seharga 693 juta dan menjualnya ke Safeway seharga 1,8 miliar pada tahun 1998.	0
Mereka telah menerbitkan iklan di internet pada 10 Juni yang menawarkan kargo untuk dijual.	Pada 10 Juni, pemilik kapal telah menerbitkan iklan di internet yang menawarkan bahan peledak untuk dijual.	1
Sekitar 0335 GMT tab saham naik 19 sen atau 4,4 di A4.56 setelah sebelumnya menetapkan rekor tertinggi A4.57.	Saham tab melonjak 20 sen atau 4,6 untuk menetapkan rekor penutupan tinggi di A4.57.	0
Saham naik 2,11 atau sekitar 11 persen ditutup Jumat di 21,51 di New York Stock Exchange.	Saham PGE Corp. melonjak 1,63 atau 8 persen menjadi 21,03 di New York Stock Exchange pada hari Jumat.	1
Pendapatan pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	Dengan skandal yang menggantung di Stewarts Company Revenue kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	1
NASDAQ memiliki keuntungan mingguan 17,27 atau 1,2 persen ditutup pada 1520,15 pada hari Jumat.	Techlaced Nasdaq Composite .ixic mengumpulkan 30,46 poin atau 2,04 persen menjadi 1520,15.	0
DVDCCA kemudian mengajukan banding ke Mahkamah Agung negara bagian.	DVD CCA mengajukan banding atas keputusan itu ke Mahkamah Agung A.S.	1
Itu dibandingkan dengan 35,18 juta atau 24 sen per saham pada periode tahun ke depan.	Penghasilan dipengaruhi oleh 8 juta manfaat pajak yang tidak berulang pada periode tahun ke depan.	0
Dia mengatakan bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang perusahaan.	Bisnis pie layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang Anda.	1
Saham Genentech perusahaan yang jauh lebih besar dengan beberapa produk di pasaran naik lebih dari 2 persen.	Saham Xoma turun 16 persen dalam perdagangan awal sementara saham Genentech perusahaan yang jauh lebih besar dengan beberapa produk di pasar naik 2 persen.	0
Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan persetujuan rumah yang luar biasa pada bulan Maret.	Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan persetujuan Speedy House pada bulan Maret dan didukung oleh Gedung Putih.	0
Indeks komposit NASDAQ meningkat 10,73 atau 0,7 persen menjadi 1514,77.	Indeks komposit NASDAQ yang penuh dengan saham teknologi akhir -akhir ini naik sekitar 18 poin.	0
Namun dia menambahkan kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.	De Sole mengatakan dalam pernyataan hasil bahwa kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.	1
Dia mengatakan kepada surat kabar The Sun bahwa Mr. Hussein memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka.	Anak -anak perempuan Saddam memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka terutama sekolah -sekolah yang ia katakan kepada The Sun.	1
