sentence1	sentence2	label
"Amrozi menuduh saudaranya, yang ia sebut ""saksi"", dengan sengaja mendistorsi buktinya."	"Mengacu padanya hanya sebagai ""saksi"", Amrozi menuduh saudaranya dengan sengaja mendistorsi buktinya."	1
Yucaipa memiliki Dominick sebelum menjual rantai ke Safeway pada tahun 1998 dengan harga $ 2,5 miliar.	Yucaipa membeli Dominick pada tahun 1995 dengan harga $ 693 juta dan menjualnya ke Safeway seharga $ 1,8 miliar pada tahun 1998.	0
Mereka telah menerbitkan iklan di internet pada 10 Juni, menawarkan kargo untuk dijual, tambahnya.	Pada 10 Juni, pemilik kapal telah menerbitkan iklan di internet, menawarkan bahan peledak untuk dijual.	1
Sekitar 0335 GMT, saham tab naik 19 sen, atau 4,4%, dengan harga $ 4,56, setelah sebelumnya menetapkan rekor tertinggi $ 4,57.	Saham tab melonjak 20 sen, atau 4,6%, untuk mencatat rekor tertinggi dengan harga $ 4,57.	0
Saham naik $ 2,11, atau sekitar 11 persen, ditutup Jumat dengan $ 21,51 di New York Stock Exchange.	Saham PG&E Corp. melonjak $ 1,63 atau 8 persen menjadi $ 21,03 di New York Stock Exchange pada hari Jumat.	1
Pendapatan pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	Dengan skandal yang menggantung di atas perusahaan Stewart, pendapatan kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	1
NASDAQ memiliki keuntungan mingguan 17,27, atau 1,2 persen, ditutup pada 1.520,15 pada hari Jumat.	Nasdaq Composite .ixic yang dilacak dengan teknologi mengumpulkan 30,46 poin, atau 2,04 persen, menjadi 1.520,15.	0
DVD-CCA kemudian mengajukan banding ke Mahkamah Agung negara bagian.	DVD CCA mengajukan banding atas keputusan itu ke Mahkamah Agung A.S.	1
Itu dibandingkan dengan $ 35,18 juta, atau 24 sen per saham, pada periode tahun lalu.	Penghasilan dipengaruhi oleh manfaat pajak $ 8 juta yang tidak berulang pada periode tahun lalu.	0
Dia mengatakan bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang perusahaan.	"""Bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang kami."	1
