sentence1	sentence2	label	preprocessed_sentence1	preprocessed_sentence2	Jaccard_Score
Amrozi menuduh saudaranya yang dia sebut sebagai saksi dengan sengaja mendistorsi buktinya.	Mengacu padanya hanya sebagai saksi Amrozi yang menuduh saudaranya dengan sengaja mendistorsi buktinya.	1	amrozi tuduh saudara yang dia sebut sebagai saksi dengan sengaja distorsi bukti	acu pada hanya sebagai saksi amroz yang tuduh saudara dengan sengaja distorsi bukti	0.5625
Yucaipa memiliki Dominicks sebelum menjual rantai ke Safeway pada tahun 1998 dengan harga 2,5 miliar.	Yucaipa membeli Dominicks pada tahun 1995 seharga 693 juta dan menjualnya ke Safeway seharga 1,8 miliar pada tahun 1998.	0	yucaipa milik dominicks belum jual rantai ke safeway pada tahun 1998 dengan harga 25 miliar	yucaipa beli dominicks pada tahun 1995 harga 693 juta dan jual ke safeway harga 18 miliar pada tahun 1998	0.47619047619047616
Mereka telah menerbitkan iklan di internet pada 10 Juni yang menawarkan kargo untuk dijual.	Pada 10 Juni, pemilik kapal telah menerbitkan iklan di internet yang menawarkan bahan peledak untuk dijual.	1	mereka telah terbit iklan di internat pada 10 juni yang tawar kargo untuk jual	pada 10 juni milik kapal telah terbit iklan di internat yang tawar bahan peledak untuk jual	0.6666666666666666
Sekitar 0335 GMT tab saham naik 19 sen atau 4,4 di A4.56 setelah sebelumnya menetapkan rekor tertinggi A4.57.	Saham tab melonjak 20 sen atau 4,6 untuk menetapkan rekor penutupan tinggi di A4.57.	0	sekitar 0335 gmt tab saham naik 19 sen atau 44 di a456 sete belum tetap rekor tinggi a457	saham tab lonjak 20 sen atau 46 untuk tetap rekor tutup tinggi di a457	0.391304347826087
Saham naik 2,11 atau sekitar 11 persen ditutup Jumat di 21,51 di New York Stock Exchange.	Saham PGE Corp. melonjak 1,63 atau 8 persen menjadi 21,03 di New York Stock Exchange pada hari Jumat.	1	saham naik 211 atau sekitar 11 persen tutup jumat di 2151 di new york stock exchange	saham pge corp lonjak 163 atau 8 persen jadi 2103 di new york stock exchange pada hari jumat	0.391304347826087
Pendapatan pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	Dengan skandal yang menggantung di Stewarts Company Revenue kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.	1	dapat pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun belum	dengan skandal yang gantung di stewarts company revenue kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun belum	0.5714285714285714
NASDAQ memiliki keuntungan mingguan 17,27 atau 1,2 persen ditutup pada 1520,15 pada hari Jumat.	Techlaced Nasdaq Composite .ixic mengumpulkan 30,46 poin atau 2,04 persen menjadi 1520,15.	0	menasdaq milik untung minggu 1727 atau 12 persen tutup pada 152015 pada hari jumat	techlaced menasdaq composite ixic kumpul 3046 poin atau 204 persen jadi 152015	0.19047619047619047
DVDCCA kemudian mengajukan banding ke Mahkamah Agung negara bagian.	DVD CCA mengajukan banding atas keputusan itu ke Mahkamah Agung A.S.	1	dvdcca kemudian aju banding ke mahkamah agung negara bagi	dvd cca aju banding atas putus itu ke mahkamah agung as	0.3333333333333333
Itu dibandingkan dengan 35,18 juta atau 24 sen per saham pada periode tahun ke depan.	Penghasilan dipengaruhi oleh 8 juta manfaat pajak yang tidak berulang pada periode tahun ke depan.	0	itu banding dengan 3518 juta atau 24 sen per saham pada periode tahun ke depan	hasil pengaruh oleh 8 juta manfaat pajak yang tidak ulang pada periode tahun ke depan	0.2608695652173913
Dia mengatakan bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang perusahaan.	Bisnis pie layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang Anda.	1	dia kata bisnis pai layan makan tidak sesuai dengan strategi tumbuh jangka panjang usaha	bisnis pie layan makan tidak sesuai dengan strategi tumbuh jangka panjang anda	0.625
Saham Genentech perusahaan yang jauh lebih besar dengan beberapa produk di pasaran naik lebih dari 2 persen.	Saham Xoma turun 16 persen dalam perdagangan awal sementara saham Genentech perusahaan yang jauh lebih besar dengan beberapa produk di pasar naik 2 persen.	0	saham genentech usaha yang jauh lebih besar dengan beberapa produk di pasar naik lebih dari 2 persen	saham xoma turun 16 persen dalam dagang awal sementara saham genentech usaha yang jauh lebih besar dengan beberapa produk di pasar naik 2 persen	0.6363636363636364
Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan persetujuan rumah yang luar biasa pada bulan Maret.	Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan persetujuan Speedy House pada bulan Maret dan didukung oleh Gedung Putih.	0	legislasi yang buat konsumen lebih sulit untuk hapus hutang mereka di adil bangkrut menang tuju rumah yang luar biasa pada bulan maret	legislasi yang buat konsumen lebih sulit untuk hapus hutang mereka di adil bangkrut menang tuju speedy house pada bulan maret dan dukung oleh gedung putih	0.6428571428571429
Indeks komposit NASDAQ meningkat 10,73 atau 0,7 persen menjadi 1514,77.	Indeks komposit NASDAQ yang penuh dengan saham teknologi akhir -akhir ini naik sekitar 18 poin.	0	indeks komposit menasdaq tingkat 1073 atau 07 persen jadi 151477	indeks komposit menasdaq yang penuh dengan saham teknologi akhir akhir ini naik sekitar 18 poin	0.14285714285714285
Namun dia menambahkan kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.	De Sole mengatakan dalam pernyataan hasil bahwa kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.	1	namun dia tambah kinerja kelompok akan baik di paruh dua tahun dan terus	de sole kata dalam nyata hasil bahwa kinerja kelompok akan baik di paruh dua tahun dan terus	0.5
Dia mengatakan kepada surat kabar The Sun bahwa Mr. Hussein memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka.	Anak -anak perempuan Saddam memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka terutama sekolah -sekolah yang ia katakan kepada The Sun.	1	dia kata kepada surat kabar the sun bahwa mr husse milik sekolah dan rumah sakit di inggris ketika mereka putus untuk minta suaka	anak anak perempuan saddam milik sekolah dan rumah sakit di inggris ketika mereka putus untuk minta suaka utama sekolah sekolah yang ia kata kepada the sun	0.5862068965517241
Kepala Gyorgy Heizler dari unit bencana setempat mengatakan pelatih itu membawa 38 penumpang.	Kepala unit bencana lokal Gyorgy Heizler mengatakan sopir pelatih telah gagal mengindahkan lampu berhenti merah.	0	kepala gyorgy heizler dari unit bencana tempat kata pelatih itu bawa 38 tumpang	kepala unit bencana lokal gyorgy heizler kata sopir pelatih telah gagal indah lampu henti merah	0.3333333333333333
Rudder baru -baru ini adalah wakil presiden senior untuk Platform Pengembang Bisnis Evangelism.	Wakil Presiden Senior Eric Rudder sebelumnya Kepala Pengembang dan Platform Evangelism akan memimpin entitas baru.	0	rudder baru baru ini adalah wakil presiden senior untuk platform embang bisnis evangelism	wakil presiden senior eric rudder belum kepala embang dan platform evangelism akan pimpin entitas baru	0.42105263157894735
Selain skema lumba -lumba, kekacauan telah memungkinkan perusahaan asing untuk terlibat dalam kerusakan pembalakan dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.	Kekacauan internal telah memungkinkan perusahaan asing untuk merusak penebangan komersial dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.	0	selain skema lumba lumba kacau telah mungkin usaha asing untuk libat dalam rusa bala dan operasi tangkap ikan tanpa kontrol pantau atau ekspor yang tepat	kacau internal telah mungkin usaha asing untuk rusak tebang komersial dan operasi tangkap ikan tanpa kontrol pantau atau ekspor yang tepat	0.6071428571428571
Magnarelli mengatakan Racicot membenci rezim Irak dan berharap untuk menggunakan pelatihan selama bertahun -tahun dalam perang.	Istrinya mengatakan dia 100 persen di belakang George Bush dan berharap untuk menggunakan pelatihan bertahun -tahun dalam perang.	0	magnarelli kata racicot benci rezim irak dan harap untuk guna pelatih lama tahun tahun dalam perang	istri kata dia 100 persen di belakang george bush dan harap untuk guna pelatih tahun tahun dalam perang	0.391304347826087
Sheena Young dari Child The National Infertility Support Network berharap pedoman ini akan mengarah pada layanan yang lebih adil dan adil untuk penderita infertilitas.	Sheena Young Seorang juru bicara untuk anak National Infertility Support Network mengatakan pedoman yang diusulkan harus mengarah pada layanan yang lebih adil dan adil bagi para penderita infertilitas.	1	sheena young dari child the menational infertility support menetwork harap pedoman ini akan arah pada layan yang lebih adil dan adil untuk derita infertilitas	sheena young orang juru bicara untuk anak menational infertility support menetwork kata pedoman yang usul harus arah pada layan yang lebih adil dan adil bagi para derita infertilitas	0.53125
Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan katanya menambahkan pertumbuhan bisa menggantikan pekerjaan yang hilang.	Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan kata Mankiw.	0	saya pikir anda akan lihat banyak tumbuh pekerja dalam dua tahun ke depan kata tambah tumbuh bisa ganti pekerja yang hilang	saya pikir anda akan lihat banyak tumbuh pekerja dalam dua tahun ke depan kata mankiw	0.7
Pencari baru menempatkan server jaringan hard drive folder pengguna Idisk dan media yang dapat dilepas di satu lokasi yang menyediakan akses Oneclick.	Alat Navigasi Finder Panthers yang Didesain ulang menempatkan server jaringan hard drive folder favorit pengguna Idisk dan media yang dapat dilepas di satu lokasi.	1	cari baru tempat rver jaring hard drive folder guna idisk dan media yang dapat lepas di satu lokasi yang sedia akses oneclick	alat navigasi finder panthers yang desain ulang tempat rver jaring hard drive folder favorit guna idisk dan media yang dapat lepas di satu lokasi	0.5714285714285714
Tetapi peringatan dan jam tangan badai tropis diposting hari ini untuk bagian barat Haiti dari Republik Dominika, Bahama tenggara dan Kepulauan Turki dan Caicos.	Peringatan badai tropis ada pada hari Kamis untuk Jamaika dan Haiti dan mengawasi Republik Dominika Barat, Bahama tenggara dan Kepulauan Turki dan Caicos.	1	tetapi ingat dan jam tangan badai tropis diposting hari ini untuk bagi barat haiti dari republik dominika bahama tenggara dan pulau turki dan caicos	ingat badai tropis ada pada hari kamis untuk jamaika dan haiti dan awas republik dominika barat bahama tenggara dan pulau turki dan caicos	0.5555555555555556
