amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Amrozi""))
    :ARG1 (z3 / orang
              :ARG0-of (z4 / memiliki-peran-rel-91
                           :ARG1 (z5 / dia)
                           :ARG2 (z6 / saudara)))
    :ARG2 (z7 / mendistorsi-01
              :ARG0 z3
              :ARG1 (z8 / bukti
                        :poss z5)
              :manner (z9 / yang-disengaja)))"
"# ::id 1
# ::annotator indoamrbart-mbart-fted
# ::snt Yucaipa memiliki Dominick sebelum menjual rantai ke Safeway pada tahun 1998 dengan harga $ 2,5 miliar.
(z0 / ada-02
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Yucaipa""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""Dominick""))
    :time (z5 / sebelum
              :op1 (z6 / menjual-01
                       :ARG0 z1
                       :ARG1 (z7 / rantai)
                       :destination (z8 / perusahaan
                                        :wiki -
                                        :name (z9 / nama
                                                  :op1 ""Safeway""))
                       :time (z10 / entitas-tanggal)
                       :manner (z11 / harga-01
                                    :ARG2 (z12 / kuantitas-moneter
                                               :unit (z13 / dolar))))))"
"# ::id 2
# ::annotator indoamrbart-mbart-fted
# ::snt Mereka telah menerbitkan iklan di internet pada 10 Juni, menawarkan kargo untuk dijual, tambahnya.
(z0 / tambah-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / iklan-01
              :ARG0 z1
              :location (z3 / internet)
              :time (z4 / entitas-tanggal))
    :manner (z5 / menawarkan-01
                :ARG0 z1
                :ARG1 (z6 / kargo
                          :ARG1 (z7 / dijual-01))))"
"# ::id 3
# ::annotator indoamrbart-mbart-fted
# ::snt Sekitar 0335 GMT, saham tab naik 19 sen, atau 4,4%, dengan harga $ 4,56, setelah sebelumnya menetapkan rekor tertinggi $ 4,57.
(z0 / naik-01
    :ARG0 (z1 / saham
              :mod (z2 / tab))
    :ARG4 (z3 / atau
              :op1 (z4 / entitas-laju-91
                       :ARG1 (z5 / kuantitas-moneter
                                 :unit (z6 / sen))
                       :ARG2 (z7 / entitas-laju-91
                                 :ARG1 (z8 / entitas-laju-91
                                           :ARG2 (z9 / sekitar
                                                     :op1 (z10 / kuantitas-moneter
                                                               :unit (z11 / dolar))))))
              :op2 (z12 / entitas-laju-91
                        :ARG1 (z13 / entitas-laju-91
                                   :ARG2 (z14 / kuantitas-moneter
                                              :unit (z15 / dolar)))
                        :ARG2 (z16 / entitas-laju-91
                                   :ARG1 (z17 / entitas-laju-91
                                              :ARG2 (z18 / kuantitas-moneter
                                                         :unit (z19 / dolar))))))
    :time (z20 / entitas-tanggal
               :time ""0335"")
    :time (z21 / setelah
               :op1 (z22 / tangkap-01
                         :ARG0 (z23 / sebelumnya)
                         :ARG1 (z24 / rekor
                                    :ARG1-of (z25 / tinggi-02)
                                    :mod (z26 / entitas-laju-91
                                              :ARG2 (z27 / kuantitas-moneter
                                                         :unit (z28 / dolar)))))))"
"# ::id 4
# ::annotator indoamrbart-mbart-fted
# ::snt Saham naik $ 2,11, atau sekitar 11 persen, ditutup Jumat dengan $ 21,51 di New York Stock Exchange.
(z0 / tutup-01
    :ARG0 (z1 / saham
              :wiki -
              :name (z2 / nama
                        :op1 ""New""
                        :op2 ""York""
                        :op3 ""Stock""
                        :op4 ""Exchange""))
    :time (z3 / entitas-tanggal
              :weekday (z4 / jumat)
              :ARG1 (z6 / kuantitas-moneter
                        :unit (z7 / dolar))
              :ARG2 (z8 / entitas-laju-91
                        :ARG1 (z9 / entitas-persentase))))"
"# ::id 5
# ::annotator indoamrbart-mbart-fted
# ::snt Pendapatan pada kuartal pertama tahun ini turun 15 persen dari periode yang sama tahun sebelumnya.
(z0 / turun-01
    :ARG0 (z1 / entitas-laju-91
              :ARG1 (z2 / kuartal
                        :ord (z3 / entitas-ordinal)))
    :ARG2 (z4 / entitas-persentase)
    :source (z5 / periode
                :time (z6 / tahun
                          :mod (z7 / ini))))"
"# ::id 6
# ::annotator indoamrbart-mbart-fted
# ::snt NASDAQ memiliki keuntungan mingguan 17,27, atau 1,2 persen, ditutup pada 1.520,15 pada hari Jumat.
(z0 / tutup-01
    :ARG1 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""NASDAQ""
                        :op2 ""NASDAQ""))
    :ARG2 (z3 / entitas-laju-91
              :ARG2 (z4 / kuantitas-sementara
                        :unit (z5 / minggu)))
    :time (z6 / entitas-tanggal
              :weekday (z7 / jumat)))"
"# ::id 7
# ::annotator indoamrbart-mbart-fted
# ::snt DVD-CCA kemudian mengajukan banding ke Mahkamah Agung negara bagian.
(z0 / banding-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""CCA""))
    :ARG1 (z3 / organisasi-pemerintah
              :wiki ""SupremeCourtoftheUnitedStates""
              :name (z4 / nama
                        :op1 ""United""
                        :op2 ""States""))
    :location (z5 / negara
                  :mod (z6 / bagian)))"
"# ::id 8
# ::annotator indoamrbart-mbart-fted
# ::snt Itu dibandingkan dengan $ 35,18 juta, atau 24 sen per saham, pada periode tahun lalu.
(z0 / bandingkan-01
    :ARG1 (z1 / atau
              :op1 (z2 / entitas-laju-91
                       :ARG1 (z3 / kuantitas-moneter
                                 :unit (z4 / dolar)))
              :op2 (z5 / entitas-laju-91
                       :ARG1 (z6 / entitas-laju-91
                                 :ARG2 (z7 / kuantitas-sementara
                                           :unit (z8 / tahun)))
                       :ARG2 (z9 / entitas-laju-91
                                 :ARG1 (z10 / kuantitas-moneter)
                                 :ARG2 (z11 / saham)))))"
"# ::id 9
# ::annotator indoamrbart-mbart-fted
# ::snt Dia mengatakan bisnis pai layanan makanan tidak sesuai dengan strategi pertumbuhan jangka panjang perusahaan.
(z0 / sesuai-01
    :polarity -
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""pai""
                        :op2 ""layanan""
                        :op3 ""makanan""))
    :ARG1 (z3 / strategi
              :mod (z4 / pertumbuhan
                       :mod (z5 / jangkapanjang)
                       :poss z1)))"
"# ::id 10
# ::annotator indoamrbart-mbart-fted
# ::snt Saham Genentech, perusahaan yang jauh lebih besar dengan beberapa produk di pasaran, naik lebih dari 2 persen.
(z0 / naik-01
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""Genentech""
                        :op2 ""Genentech""))
    :ARG4 (z3 / entitas-persentase)
    :location (z4 / pasar)
    :manner (z5 / besar
                :ARG2-of (z6 / memiliki-derajat-91
                             :ARG1 z1
                             :ARG3 (z7 / lebih
                                       :quant (z8 / jauh)))))"
"# ::id 11
# ::annotator indoamrbart-mbart-fted
# ::snt Legislasi yang membuat konsumen lebih sulit untuk menghapus hutang mereka di pengadilan kebangkrutan memenangkan persetujuan rumah yang luar biasa pada bulan Maret.
(z0 / lebih-01
    :ARG0 (z1 / konsumen)
    :ARG1 (z2 / sulit
              :domain (z3 / keluar-01
                          :ARG0 z1
                          :ARG1 (z4 / hutang
                                    :poss z1)
                          :location (z5 / pengadilan
                                        :mod (z6 / kebangkrutan))))
    :time (z7 / entitas-tanggal))"
"# ::id 12
# ::annotator indoamrbart-mbart-fted
# ::snt Indeks komposit NASDAQ meningkat 10,73, atau 0,7 persen, menjadi 1.514,77.
(z0 / naik-06
    :ARG0 (z1 / perusahaan
              :wiki -
              :name (z2 / nama
                        :op1 ""NASDAQ""))
    :ARG4 (z3 / entitas-persentase)
    :manner (z4 / atau
                :op1 (z5 / entitas-persentase)
                :op2 (z6 / entitas-persentase)))"
"# ::id 13
# ::annotator indoamrbart-mbart-fted
# ::snt Namun dia menambahkan kinerja kelompok akan membaik di paruh kedua tahun dan seterusnya.
(z0 / tambah-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / naik-06
              :ARG1 (z3 / kinerja
                        :poss (z4 / grup))
              :ARG2 (z5 / entitas-laju-91
                        :ARG2 (z6 / kuantitas-sementara
                                  :unit (z7 / tahun)))
              :direction (z8 / atas))
    :time (z9 / dan
              :op1 (z10 / entitas-tanggal)
              :op2 (z11 / entitas-laju-91
                        :ARG2 (z12 / entitas-tanggal))))"
"# ::id 14
# ::annotator indoamrbart-mbart-fted
# ::snt Dia mengatakan kepada surat kabar The Sun bahwa putri Mr. Hussein memiliki sekolah dan rumah sakit di Inggris ketika mereka memutuskan untuk meminta suaka.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""The""
                        :op2 ""Sun""))
    :ARG1 (z3 / ada-02
              :ARG0 (z4 / orang
                        :ARG0-of (z5 / memiliki-peran-rel-91
                                     :ARG1 (z6 / orang
                                               :wiki -
                                               :name (z7 / nama
                                                         :op1 ""Mr.""
                                                         :op2 ""Hussein""))
                                     :ARG2 (z8 / putri)))
              :ARG1 (z9 / dan
                        :op1 (z10 / sekolah)
                        :op2 (z11 / rumah
                                  :mod (z12 / sakit)))
              :location (z13 / negara
                             :wiki ""UnitedKingdom""
                             :name (z14 / nama
                                        :op1 ""Britain""))
              :time (z15 / memutuskan-01
                         :ARG0 z4
                         :ARG1 (z16 / suaka-01
                                    :ARG0 z4))))"
"# ::id 15
# ::annotator indoamrbart-mbart-fted
# ::snt Gyorgy Heizler, kepala unit bencana setempat, mengatakan pelatih itu membawa 38 penumpang.
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Gyorgy""
                        :op2 ""Heizler"")
              :ARG0-of (z3 / kepala-01
                           :ARG1 (z4 / unit
                                     :mod (z5 / bencana)
                                     :mod (z6 / setempat))))
    :ARG1 (z7 / bawa-01
              :ARG0 (z8 / pelatih)
              :ARG1 (z9 / penumpang)))"
"# ::id 16
# ::annotator indoamrbart-mbart-fted
# ::snt Rudder baru-baru ini adalah wakil presiden senior untuk bisnis penginjilan pengembang & platform.
(z0 / memiliki-peran-org-91
    :ARG0 (z1 / orang
              :ARG0-of (z2 / memiliki-peran-org-91
                           :ARG2 (z3 / presiden
                                     :mod (z4 / senior))))
    :ARG1 (z5 / bisnis
              :mod (z6 / penginjilan)
              :mod (z7 / platform))
    :ARG2 (z8 / presiden
              :mod (z9 / wakil))
    :time (z10 / baru-baru-ini))"
"# ::id 17
# ::annotator indoamrbart-mbart-fted
# ::snt Selain skema lumba-lumba, kekacauan tersebut telah memungkinkan perusahaan asing untuk terlibat dalam peraturan penebangan dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.
(z0 / izin-01
    :ARG0 (z1 / kekacauan
              :mod (z2 / itu))
    :ARG1 (z3 / ikut-01
              :ARG0 (z4 / perusahaan
                        :mod (z5 / asing))
              :ARG1 (z6 / dan
                        :op1 (z7 / peraturan
                                 :mod (z8 / penebangan-01))
                        :op2 (z9 / operasi
                                 :mod (z10 / tangkap-01
                                           :ARG1 (z11 / ikan))))
              :manner (z12 / kontrol-01
                           :polarity -
                           :ARG0 (z13 / atau
